faceit_nickname_input,faceit_nickname_official,faceit_player_id,country,steam_id_64,steam_nickname,cs2_skill_level,cs2_faceit_elo,cs2_game_player_id,cs2_game_player_name,avatar,faceit_url,activated_at
JohnnyPanda,JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,pt,76561197977881703,panda,9,1928,76561197977881703,panda,https://distribution.faceit-cdn.net/images/00457ce5-ce9b-400e-8b59-e34d3321da75.jpg,https://www.faceit.com/{lang}/players/JohnnyPanda,2015-12-22T01:36:35.927Z
mHc,mHc,5e61a4c3-6ce6-49f6-ac80-457804e4cb23,br,76561198042644945,mHc,9,1958,76561198042644945,mHc,https://distribution.faceit-cdn.net/images/6186db71-1518-4e6d-98be-f029f7a5c1ce.jpg,https://www.faceit.com/{lang}/players/mHc,2019-09-14T17:22:29.964Z
pelogan,pelogan,2ea9b956-14da-480d-bbfd-8ade5c3a1e3a,ie,76561198079227697,pelogan,7,1526,76561198079227697,pelogan,https://distribution.faceit-cdn.net/images/3cb18118-69f2-434d-9cf4-2e2db9592026.jpeg,https://www.faceit.com/{lang}/players/pelogan,2019-09-17T19:06:51.909Z
facedaking,facedaking,c1d4a1a6-7615-455c-99a1-5d57f0465d25,pt,76561198086134154,face,8,1601,76561198086134154,face,https://distribution.faceit-cdn.net/images/c5db7f5b-8dac-4aee-bece-5d7e928552d7.jpg,https://www.faceit.com/{lang}/players/facedaking,2019-12-08T21:17:59.688Z
-deco-,-deco-,f53bb9a4-e09e-4985-b72e-88c567d932f8,br,76561197967624900,deco,8,1611,76561197967624900,deco,https://distribution.faceit-cdn.net/images/9e130e80-c0d0-401b-900d-69c49010155e.jpg,https://www.faceit.com/{lang}/players/-deco-,2016-08-12T17:56:45.427Z
_DaN_,_DaN_,22a2b582-3597-45f1-988c-a5377c6118f8,pt,76561198064141848,DaN,10,2003,76561198064141848,DaN,https://distribution.faceit-cdn.net/images/b46e0e57-d72f-4dae-904e-0601b44d4a85.jpeg,https://www.faceit.com/{lang}/players/_DaN_,2019-03-03T01:15:19.391Z
BadDoug,BadDoug,4395a28c-0038-4f2e-bc1b-8f23be569312,br,76561198177753313,BadDoug,7,1439,76561198177753313,[BR] DoglasBastos,https://distribution.faceit-cdn.net/images/5fe9c868-8fb3-41ed-8ed9-630ce8e5de4f.jpg,https://www.faceit.com/{lang}/players/BadDoug,2017-08-20T13:30:29.638Z
FenoNemo,FenoNemo,2f4758c9-f2b8-4cae-b5b1-3684a4e62e8d,br,76561198272954024,FenoNemo,10,2128,76561198272954024,FenoNemo,https://distribution.faceit-cdn.net/images/8b0e5eeb-29df-4020-b183-3c8461e40ad4.jpg,https://www.faceit.com/{lang}/players/FenoNemo,2024-02-02T15:07:34.779Z
J_a_c_k__,J_a_c_k__,bb46c407-6741-46eb-8c6b-e72b63bee5b6,pt,76561198879204564,Jack,9,1754,76561198879204564,Jack,https://distribution.faceit-cdn.net/images/b836c3a3-a076-4650-b332-b145dd4a3f4a.jpg,https://www.faceit.com/{lang}/players/J_a_c_k__,2019-02-11T00:55:17.884Z
K4_k0,K4_k0,408fea6f-b4db-4917-a2d2-a084f0dc72bc,al,76561198076813519,K4_K0,8,1542,76561198076813519,P1nkyツ,https://distribution.faceit-cdn.net/images/1f85f796-f6d7-4451-8a03-e3aff85cdd28.jpg,https://www.faceit.com/{lang}/players/K4_k0,2020-04-09T15:53:56.154Z
Lag_404,Lag_404,c70b8e94-59b2-4533-abaa-41ad0c1b60f9,by,76561198307466059,lag_404,10,2195,76561198307466059,lag_404,https://distribution.faceit-cdn.net/images/43a4f5ac-eac4-45d7-bd1b-a8e84ee0d042.jpg,https://www.faceit.com/{lang}/players/Lag_404,2019-02-28T17:43:34.182Z
P3S4D3L8,P3S4D3L8,f9a6f8ee-6868-4b18-9a57-dacb738f7588,ch,76561198031750305,☜†☞P3S4D3L0☜†☞,8,1564,76561198031750305,☢,https://assets.faceit-cdn.net/avatars/f9a6f8ee-6868-4b18-9a57-dacb738f7588_1591897343115.jpg,https://www.faceit.com/{lang}/players/P3S4D3L8,2020-02-24T14:57:33.326Z
Wagnerzera,Wagnerzera,691111ea-e36a-450b-928a-daafb3ff6ec1,ru,76561198952041434,Wagnerzera,6,1331,76561198952041434,Wagnerzera,https://assets.faceit-cdn.net/avatars/691111ea-e36a-450b-928a-daafb3ff6ec1_1589632051535.jpg,https://www.faceit.com/{lang}/players/Wagnerzera,2020-05-13T17:11:48.807Z
AshFxLL,AshFxLL,dd19c0cd-5d7d-4961-9a8d-1b9fb0715b05,br,76561198349563796,AshFall CSGetto.com,9,1832,76561198349563796,AshFxLL,https://distribution.faceit-cdn.net/images/0767e9a7-3b99-41d2-9315-abd6232dd074.jpeg,https://www.faceit.com/{lang}/players/AshFxLL,2017-08-21T15:06:51.651Z
-Eragonz-,-Eragonz-,344645a5-6be3-45f7-8d88-a1f0e7dc5a98,br,76561199020198204,Eragonz,9,1874,76561199020198204,ERAGON,https://distribution.faceit-cdn.net/images/5c5ebf52-e435-4135-a206-ab6d232a1f27.jpg,https://www.faceit.com/{lang}/players/-Eragonz-,2020-12-28T11:34:47.862Z
dudaaaaaaaaa,dudaaaaaaaaa,cfd4e8ab-8b55-4e70-99d3-29aee35e9324,gd,76561198430586159,Stewie2K / Cloud9 AcE,10,2005,76561198430586159,Stewie2K / Cloud9 AcE,https://distribution.faceit-cdn.net/images/608b4483-f3b5-4f1c-ad75-78b699b29fa3.jpg,https://www.faceit.com/{lang}/players/dudaaaaaaaaa,2018-02-11T20:21:12.832Z
Humildera,Humildera,d7879b1e-6a76-4484-8265-2866c36679a4,pt,76561198858066994,1000de,9,1970,76561198858066994,Hummmm,https://distribution.faceit-cdn.net/images/06b8b05d-131f-4f16-9e0f-5d22bbea668b.jpg,https://www.faceit.com/{lang}/players/Humildera,2019-12-29T01:07:59.738Z
Jefao171,Jefao171,bf3b4d03-9d93-45ae-906f-4ea39ff3c16f,br,76561198121042356,Jefão,8,1594,76561198121042356,Jefão,https://distribution.faceit-cdn.net/images/73d66998-782a-41f3-8c25-3edc62055e5a.jpg,https://www.faceit.com/{lang}/players/Jefao171,2020-10-31T16:01:21.064Z
leoobr,leoobr,708beddb-899c-4553-9464-80f6734b9023,br,76561198107214392,✪ Lé,10,2231,76561198107214392,✪ Lé,https://assets.faceit-cdn.net/avatars/708beddb-899c-4553-9464-80f6734b9023_1629725052571.jpg,https://www.faceit.com/{lang}/players/leoobr,2016-06-26T18:58:09.822Z
Lpz1NNNN,Lpz1NNNN,c03727e7-04c7-4ba2-b234-31c70d44633a,br,76561199551678063,Mole doi,9,1874,76561199551678063,Mole doi,https://distribution.faceit-cdn.net/images/f39844eb-6a66-4e69-9111-4054bb4f7618.jpg,https://www.faceit.com/{lang}/players/Lpz1NNNN,2024-02-12T22:40:17.34Z
Nilove2Bala,Nilove2Bala,a86d2f09-9ac3-4c78-8cc5-b8705d8e5145,pt,76561198076565994,PIX DA SILVA JR.🚂🚩,10,2248,76561198076565994,PIX DA SILVA JR.🚂🚩,https://assets.faceit-cdn.net/avatars/a86d2f09-9ac3-4c78-8cc5-b8705d8e5145_1585432591859.jpg,https://www.faceit.com/{lang}/players/Nilove2Bala,2020-01-27T02:42:11.721Z
bomdecama,bomdecama,271b422b-d10d-4f08-8228-97d89d6a9693,fr,76561199156477789,vacban,10,2163,76561199156477789,hero,https://distribution.faceit-cdn.net/images/9bd90cd9-914b-4162-8300-8c75f8a863b6.jpg,https://www.faceit.com/{lang}/players/bomdecama,2021-09-15T10:43:43.885Z
